region,sector,total_final_demand
1.0174,0.0014458,156399.5258981802
0.025215,3.5826e-05,2952.160226332355
0.00098098,1.3878e-06,3011.844218769591
7.2469e-06,3.2184e-09,3500.838611626622
2.3144e-05,2.5683e-08,-1478.574854669337
6.5047e-06,4.5277e-09,35686.80686836616
0.18396,0.00026141,-760.9102486325113
5.5557e-06,2.7051e-09,15155.041520116785
10.534,1.1562e-05,1977301.289571436
22.84,2.1403e-05,1459348.520653527
4.2392,1.7709e-05,4257848.662493185
887.27,0.0025486,7809162.413960955
0.00011269,6.4159e-06,200978.87008071752
0.02442,1.2749e-06,150742667.88549998
0.018164,3.8107e-05,16867810.79009128
0.090527,0.00012116,16810920.117653817
0.0001192,4.1145e-06,7647853.048264446
7.1017e-05,2.5041e-06,2241792.53328898
8.3704e-07,6.2948e-06,3864242.5041976953
8.607e-07,2.0799e-07,1688661.3707508694
0.00057159,9.4108e-05,177881.17098575548
3.5938e-05,1.9414e-06,15318992.323819418
4.0065e-05,1.3682e-06,32154362.720438708
2.8833e-06,8.0464e-06,1728162.0756934807
1.4521e-05,1.4259e-05,3883123.000870895
1.1074e-05,4.2699e-06,61669.62469105118
1.9459e-05,9.2449e-06,67921.22708211488
8.4846e-06,1.7161e-05,2168135.334582791
1.2623e-05,2.6837e-05,3060765.95632794
5.0432e-07,6.7966e-06,3493164.2527194857
0.00011253,3.5389e-06,123008.83739945789
2.0742e-06,4.2257e-06,3838608.0391670153
1.1879e-06,1.3741e-06,2878292.4903844115
4.4708e-05,9.5671e-07,5054761.558653353
5.9319e-06,1.1417e-06,1038671.705309538
4.5009e-06,1.8901e-06,8984664.199639637
0.00047357,1.1365e-05,52742172.683705986
6.6587e-07,2.9514e-06,971394.9460301073
2.4734e-06,7.4201e-07,1200584.988619076
8.0168e-07,5.4423e-06,110424851.95694442
1.3242e-06,3.2575e-07,58185764.5796501
5.5216e-07,3.7129e-07,44485516.261523575
4.8276e-07,3.1223e-07,8881208.344766174
5.3132e-07,0.00021529,58088572.432120904
2.3203e-06,8.6745e-06,125148.105304483
3.0689e-06,0.0012014,24189.64850486106
1.6185e-06,1.9617e-05,259448.87245231227
1.5457e-06,2.0081e-05,628463.1577577882
0.0010981,1.6549e-05,311368.363272752
1.145e-05,0.18483,808205.7037177344
2.9687e-06,3.9377e-07,4349.202542068662
3.1211e-06,1.342e-07,4350.635398158158
6.9642e-06,1.0343e-05,31969.664222769017
4.8975e-06,1.6708e-06,15081.4981737165
1.9545,0.33471,436889.886503775
3.1651e-06,0.029474,354468.39600667055
4.1809e-06,1.7986e-05,69532.55342109205
5.3417e-05,0.0081909,96313.71537271536
7.9123e-06,0.00036711,2326.6645062008556
2.6596e-05,5.4741e-06,88535.46338016698
1.896e-06,9.4133e-06,121541.46621994629
1.0875e-06,8.7995e-07,1439.2385257769604
4.2314e-06,2.4462e-05,32052.898176654046
2.862e-06,8.4048e-06,29146.72596745734
1.1819e-06,9.2585e-06,2382869.4119376657
3.9589e-06,0.044867,-8711.089947267024
4.0572e-06,2.2745e-05,2098.530750892786
8.9252e-07,3.1466e-07,-2747.2209327168225
1.3777e-06,1.477e-06,367105.55869249534
1.0507e-05,8.166e-07,-17470.490811655392
3.1881e-06,6.6535e-07,-13466.488083940601
5.1671e-06,6.0557e-08,-148.79063605327133
9.4045e-06,7.3389e-08,-1115.1191884478433
3.1614e-05,1.1541e-07,-284.0769262007965
3.3005e-05,8.6221e-08,-658.6131774926718
3.1189e-05,6.8281e-08,-900.4660805650695
2.1619e-06,2.0791e-08,1203.8299488575256
1.8194e-05,9.5869e-08,-361.5942087819592
4.8975e-05,8.5947e-08,-373.2503317831631
1.8736e-06,2.9306e-08,3818.186068035937
6.9732e-06,8.456e-08,-382.09314948768883
2.0721e-06,3.0289e-08,10589.495277218835
0.037037,0.042055,-1367.4699779194436
0.0052199,2.1924e-07,-4562.288222866262
2.1192e-05,0.44921,137233.3463003861
4.809e-06,0.021903,220771.86381989752
8.2369e-07,0.0027816,756.4184908889978
2.1064e-06,0.041014,33998.30841462928
4.7589e-06,1.653e-06,233626.70278480012
3.5191e-06,0.046831,3187.1306633783065
1.6938e-05,2.1184,22786.946335996756
3.5195e-05,0.20009,15990.824965475187
0.00023994,0.55318,15776.202728609795
0.00071541,2.4879,16546.936037399086
0.0001713,5.5555,46003.31142228142
0.0332,0.0021724,46219.42862141004
3.1144e-05,0.2982,12227.576126561375
0.00011785,0.2797,618269.8793842247
0.093764,0.00020054,15633.209342503538
2.1903e-06,5.8123e-08,3920.7212085370597
0.16903,0.0016041,112782.11861273051
1.3103e-05,0.00028036,83681.37214833754
7.8998e-05,0.081151,14508.771343424873
0.0003193,6.0568e-05,10893.540471154196
2.9512e-05,1.2427e-06,15041.085198135896
5.1594e-05,1.4263e-09,367.52228512042086
0.00094988,0.017218,72057.51378583428
1.4062e-05,4.239e-08,2782.1073752580737
3.9305e-05,6.7892e-08,8025.199322264061
2.2545e-05,7.8666e-08,7961.355827301683
3.0221e-05,9.4349e-05,4116.076360767768
0.053534,0.62383,22175.124181612453
0.00034929,0.0082013,66363.07336154534
0.00015339,0.0001767,86630.25881343454
0.0004531,4.8239e-05,2676.967434197688
0.00021037,0.00020505,40115.939665349295
0.00042058,8.1792e-08,6772.789633555633
0.00032751,0.013912,31182.98725802896
0.0013059,0.0084969,10121.817686958011
0.00013464,0.0046623,62945.48377707643
10.626,0.015639,1940.3105455103066
7.9987e-06,9.7534e-09,11435.448244732775
0.090907,0.00013379,4640.906987527554
